anime_id,Scored By
32281,1807089.0
15335,129726.0
28851,1523740.0
199,1234780.0
12355,443973.0
164,769154.0
7311,300672.0
28957,48585.0
431,866696.0
31757,256919.0
4282,127978.0
4565,97127.0
11577,342419.0
10408,443027.0
21899,16192.0
7472,91198.0
28805,217830.0
578,379744.0
5205,108703.0
18617,54939.0
30346,137194.0
3784,317368.0
11981,215291.0
11979,97268.0
523,658094.0
572,223595.0
9260,271790.0
32,586441.0
2236,442938.0
2418,159827.0
1365,44941.0
4155,150154.0
5,206248.0
12859,168575.0
5460,32366.0
513,289006.0
16664,112779.0
16782,498648.0
28675,130201.0
21557,154004.0
43,315593.0
9617,186594.0
10153,10357.0
1033,79434.0
12115,135337.0
6675,194318.0
32005,21975.0
28725,153209.0
585,190624.0
31490,119863.0
759,138378.0
11977,97706.0
5681,287982.0
6467,31535.0
372,65052.0
512,356104.0
5365,52427.0
7465,55193.0
1364,36532.0
16662,178434.0
1367,31921.0
437,349014.0
12477,130142.0
4107,78976.0
1506,31217.0
2759,331242.0
3016,16962.0
3783,134951.0
1430,70510.0
20371,31120.0
15039,137806.0
24997,72116.0
21419,23359.0
31149,33229.0
781,38521.0
1363,35935.0
5029,11101.0
21647,170087.0
47,485580.0
30415,41064.0
1943,255278.0
20815,18322.0
9963,26725.0
32551,38386.0
14807,51096.0
9204,7825.0
24921,12427.0
4672,38745.0
21469,35656.0
29831,3182.0
2154,43045.0
1689,544078.0
7711,207324.0
12113,132041.0
3014,21533.0
1089,21822.0
4106,73536.0
8142,83227.0
7222,13340.0
2623,5595.0
4280,126460.0
18429,16109.0
14353,133843.0
4985,14968.0
793,33150.0
28755,289130.0
10029,111855.0
416,147809.0
13119,6954.0
3782,143662.0
12017,13017.0
780,37679.0
14349,171778.0
9465,34517.0
14175,34306.0
2753,3690.0
779,43114.0
1366,29565.0
187,104550.0
597,162538.0
12917,1612.0
15771,42191.0
11001,8341.0
9724,33153.0
21339,132719.0
543,89233.0
9252,35465.0
1505,27859.0
4447,26290.0
317,142679.0
13117,9110.0
16904,120924.0
2273,35284.0
2890,360594.0
468,84999.0
29755,35485.0
5310,15514.0
2265,
23249,5273.0
10090,4303.0
1824,19138.0
19489,94060.0
19613,17628.0
10218,141849.0
1379,24301.0
23293,12980.0
33221,11997.0
1961,10397.0
2761,3479.0
28881,13831.0
21473,44182.0
451,52461.0
433,89789.0
1092,19137.0
1921,8312.0
11737,138470.0
875,30412.0
29830,3070.0
16870,384937.0
15197,68974.0
570,73791.0
2175,21269.0
2594,26460.0
9790,70077.0
8514,37621.0
12117,24291.0
19115,10217.0
29829,3242.0
30868,16490.0
14735,20861.0
1462,44127.0
13667,199906.0
30413,15309.0
33082,35152.0
1096,15482.0
14407,59728.0
10092,32372.0
9785,2416.0
1211,7987.0
2397,47185.0
9760,94201.0
2593,179701.0
2454,4752.0
87,27623.0
30364,32098.0
22819,3644.0
6772,43086.0
2450,5128.0
6927,13015.0
30952,11853.0
6046,21828.0
9000,29477.0
10717,18221.0
531,35379.0
6637,79854.0
10389,33768.0
2499,7921.0
32108,44551.0
3603,27700.0
464,57070.0
9745,13826.0
997,28040.0
28479,21495.0
1301,7438.0
462,54459.0
10715,18408.0
8247,118499.0
450,56165.0
6624,19508.0
25015,72454.0
23777,46923.0
371,56910.0
430,202233.0
16528,69053.0
9288,3667.0
6372,96443.0
2313,4846.0
24543,34945.0
11531,18875.0
10534,9214.0
33513,47706.0
905,94154.0
5204,108179.0
1034,15829.0
10716,17836.0
1924,3069.0
3785,251729.0
10999,9397.0
10500,9818.0
11743,66691.0
12049,118865.0
6152,5126.0
19191,24569.0
23775,48540.0
9751,18753.0
2202,4274.0
452,55182.0
32869,15434.0
6172,15492.0
2498,8050.0
25729,3566.0
14669,38608.0
27411,16184.0
617,66810.0
4835,134075.0
8888,89431.0
9786,1297.0
25687,59747.0
5290,2410.0
528,173195.0
1861,8178.0
17437,11154.0
304,22479.0
2673,5403.0
2848,7312.0
15813,6219.0
3848,33328.0
46,26859.0
17187,29419.0
7651,2168.0
1029,71016.0
10714,19177.0
6408,27255.0
2174,4276.0
8100,27916.0
814,7732.0
2098,3742.0
1240,21178.0
901,100164.0
14837,145743.0
449,48375.0
32870,13048.0
522,42867.0
10589,137990.0
2961,71104.0
9979,2569.0
2889,143726.0
2171,24939.0
19195,17494.0
5998,4258.0
10731,4797.0
22419,1922.0
13709,33273.0
1474,3683.0
15199,53182.0
1095,19001.0
13391,44058.0
441,25372.0
24919,11445.0
1686,167317.0
1681,19720.0
6922,117869.0
17121,36779.0
7045,6524.0
12053,17323.0
20671,3133.0
1911,3815.0
24655,109675.0
2392,9569.0
5710,1926.0
1091,19912.0
7877,1385.0
34136,48398.0
17269,30803.0
15201,46230.0
25389,116360.0
5929,373.0
5291,4621.0
5096,6914.0
906,78647.0
1773,5008.0
12015,10906.0
2922,1602.0
8246,141712.0
1203,3315.0
10294,25864.0
10713,20456.0
28771,44431.0
13335,12324.0
19193,20534.0
20903,28100.0
10918,6230.0
14267,4663.0
792,10996.0
1006,11944.0
30869,5944.0
1475,3445.0
2672,2584.0
2286,4983.0
31,140233.0
9959,220.0
9340,575.0
9135,95269.0
1825,5541.0
10624,20667.0
520,4531.0
6325,113068.0
1010,7888.0
8115,8512.0
9032,18548.0
2460,3230.0
10629,2191.0
3744,2595.0
484,4383.0
9931,1403.0
2408,2631.0
1419,5258.0
24591,3627.0
25755,4546.0
30790,4141.0
2969,22251.0
2656,4891.0
15925,4478.0
27969,12239.0
7337,33177.0
21031,1742.0
815,11789.0
1764,9652.0
31245,94454.0
4970,59132.0
1078,15889.0
2665,4870.0
2676,4189.0
465,38593.0
1117,121050.0
1815,30269.0
15307,2466.0
8098,5380.0
2407,3366.0
1302,3579.0
565,39678.0
4703,2150.0
33302,4054.0
2649,1638.0
463,44265.0
2107,36720.0
2658,2672.0
6930,4069.0
1441,8653.0
1090,23956.0
2472,167460.0
4437,147095.0
2141,1920.0
2427,2340.0
9544,16061.0
1983,1880.0
2756,6152.0
2677,4288.0
2661,4453.0
19645,5261.0
1030,59142.0
31989,9501.0
1255,8787.0
1259,13735.0
867,9184.0
869,9824.0
2013,3621.0
3051,2377.0
3203,898.0
2654,3159.0
2393,6001.0
844,3872.0
6288,37628.0
5753,2730.0
1329,1081.0
868,9498.0
21395,3320.0
2398,29495.0
3727,5234.0
1906,1820.0
1206,2646.0
1526,71800.0
4921,4650.0
2111,1953.0
3089,24033.0
713,32384.0
2675,4799.0
2648,2859.0
3508,12547.0
6795,7978.0
13271,109424.0
418,11473.0
536,13001.0
807,23258.0
1521,6569.0
8369,3703.0
2660,1580.0
1432,5182.0
33190,14880.0
2670,7539.0
8134,1458.0
1969,5201.0
19021,50572.0
3087,43299.0
902,72990.0
32871,14716.0
415,24750.0
30870,5304.0
1723,89509.0
19951,90982.0
1967,5992.0
2385,21965.0
6988,3824.0
11053,3693.0
3223,1247.0
9999,31211.0
2386,23829.0
2847,69928.0
28495,3148.0
883,13450.0
1901,4693.0
10681,47996.0
2667,2894.0
2666,2655.0
2655,5683.0
893,31609.0
15785,6920.0
3222,1295.0
5084,5473.0
2948,2018.0
460,54150.0
11019,4314.0
5014,699.0
3067,1369.0
3269,14527.0
11375,7388.0
2920,1943.0
2671,3561.0
32071,58171.0
1416,4650.0
12001,8872.0
1120,73558.0
866,9315.0
27825,2273.0
3186,1758.0
3043,2493.0
1358,11770.0
16442,1953.0
31280,5796.0
6169,2602.0
1920,5211.0
6460,4083.0
2123,11074.0
2668,2625.0
1931,2709.0
8120,1013.0
1116,2254.0
2901,798.0
2947,2192.0
1362,18690.0
30711,42211.0
974,40235.0
1140,35237.0
6463,649.0
14293,38333.0
8133,2850.0
23987,13752.0
2657,2702.0
31201,3025.0
1968,5384.0
10686,40107.0
27539,914.0
1144,7786.0
17699,2883.0
30845,1255.0
8359,4689.0
2659,3774.0
9958,17746.0
3946,1719.0
14817,4797.0
732,44273.0
2662,2579.0
2664,4511.0
4246,22607.0
2264,1923.0
459,71332.0
3868,794.0
898,90537.0
6610,34707.0
911,3018.0
2429,1396.0
13171,16843.0
8475,14331.0
8363,2593.0
2962,26075.0
2674,2248.0
3760,681.0
22583,1846.0
21189,12272.0
22677,9403.0
2199,5712.0
8364,1971.0
29927,750.0
29513,10376.0
54,41210.0
8362,4628.0
28211,18596.0
2176,1441.0
4926,916.0
12221,2475.0
1101,7838.0
2669,3861.0
2678,2002.0
10115,505.0
30290,1541.0
3752,1009.0
2490,18434.0
31919,803.0
2452,4211.0
3446,24202.0
1796,3608.0
393,30924.0
28539,8191.0
7144,1462.0
493,7426.0
2651,1157.0
1829,84430.0
23083,1499.0
2077,1290.0
2279,2164.0
461,46558.0
11009,3830.0
2470,2026.0
6217,2681.0
2132,8340.0
10690,2541.0
442,176117.0
1922,3384.0
30419,3198.0
548,15381.0
3033,12733.0
20673,9046.0
33511,
7308,719.0
1209,4039.0
1118,112069.0
758,6981.0
760,9945.0
17677,4469.0
3745,5334.0
2652,1767.0
2950,13082.0
28841,3603.0
1207,1934.0
23991,2772.0
900,74001.0
4983,10683.0
475,2116.0
6178,52446.0
2997,1436.0
9798,1924.0
7695,42806.0
1258,9635.0
7366,450.0
6219,2053.0
10592,1182.0
9348,688.0
903,80328.0
796,713.0
10659,25328.0
7014,3117.0
20969,1308.0
3072,1186.0
3032,10620.0
1122,69831.0
4026,54174.0
5895,152.0
1028,4596.0
892,29838.0
899,77387.0
1435,6926.0
3847,842.0
10821,2209.0
28257,988.0
3829,2438.0
1049,5307.0
4876,1569.0
21027,1203.0
3751,977.0
2491,905.0
1925,2695.0
8358,4971.0
8360,2336.0
1260,8947.0
1208,1536.0
32534,930.0
12223,1034.0
2172,1503.0
502,36538.0
1400,4280.0
31231,20429.0
1119,95533.0
1256,11007.0
2006,29011.0
27653,2551.0
1951,11896.0
16678,4260.0
32160,1382.0
28625,27698.0
2625,1024.0
711,1644.0
2746,10852.0
31763,29102.0
891,33697.0
12035,2396.0
1032,3283.0
1549,1462.0
2118,3020.0
10116,2669.0
3031,9818.0
1192,19396.0
2201,51481.0
212,8219.0
2715,1005.0
492,9465.0
405,58156.0
2055,826.0
2722,2498.0
5136,535.0
2029,1841.0
2493,801.0
9547,2548.0
2121,2438.0
9154,677.0
884,9136.0
896,81720.0
12163,171.0
3547,408.0
20889,9209.0
32153,10295.0
936,133610.0
2492,859.0
1923,3039.0
10259,16365.0
2646,778.0
1930,2873.0
8092,430.0
25907,12446.0
24347,5540.0
23849,2619.0
882,14685.0
2682,1099.0
8361,1931.0
313,1739.0
83,6621.0
2144,118920.0
3367,868.0
2793,1651.0
9917,33125.0
25805,32312.0
544,5607.0
2289,977.0
6032,2216.0
8368,1810.0
17357,1866.0
2645,589.0
894,74058.0
4124,2094.0
1760,7611.0
5296,865.0
4406,1059.0
2614,481.0
1121,59030.0
3646,699.0
1290,5534.0
10740,27349.0
17113,2813.0
25383,2881.0
8228,828.0
2611,5260.0
10502,3433.0
2884,4742.0
2178,8520.0
219,8126.0
7135,6479.0
88,16605.0
2120,2251.0
895,67039.0
29868,1504.0
12783,40893.0
14629,3073.0
4943,629.0
2119,2458.0
8366,2125.0
7435,799.0
3326,9042.0
2695,3446.0
3602,1654.0
9957,156.0
2633,663.0
12499,2947.0
757,2134.0
31930,
5526,20323.0
7536,572.0
6162,9203.0
8365,1708.0
378,2397.0
3659,219.0
10114,267.0
11635,1863.0
4031,1040.0
2811,2851.0
3964,1401.0
723,1676.0
897,71092.0
13755,820.0
4306,964.0
7329,1132.0
14853,3892.0
2334,556.0
6527,2066.0
3720,876.0
9773,572.0
2511,1000.0
10074,3211.0
9858,385.0
6855,429.0
8208,1009.0
1433,3964.0
33741,2008.0
13173,2907.0
3069,1246.0
1497,1890.0
2802,932.0
4201,278.0
21707,524.0
25857,815.0
420,13367.0
12857,3587.0
10702,13874.0
7330,763.0
8632,446.0
2653,717.0
1317,3651.0
2831,373.0
1204,3768.0
12663,453.0
2628,531.0
6670,376.0
12745,809.0
5936,366.0
12279,355.0
29855,864.0
4793,24118.0
20543,23735.0
1752,1611.0
2042,5018.0
17679,3965.0
6653,996.0
3037,1194.0
17573,1687.0
2033,3143.0
8367,2633.0
2650,917.0
7436,681.0
3481,1086.0
16756,352.0
8245,2993.0
10005,329.0
11755,6651.0
8783,397.0
17233,185.0
315,1146.0
8950,762.0
504,7221.0
7285,286.0
21569,26237.0
11073,5226.0
3866,351.0
10689,1084.0
17493,157.0
8546,600.0
7477,465.0
6728,252.0
9495,301.0
15347,536.0
9549,791.0
2606,6146.0
7666,906.0
6028,524.0
7364,704.0
3488,2526.0
31344,2343.0
496,2158.0
7664,492.0
5529,5614.0
3963,1413.0
1670,6323.0
4795,9850.0
1130,3752.0
2060,2402.0
1978,4682.0
13799,4001.0
7839,
2801,845.0
2211,2774.0
2456,953.0
4112,
979,9583.0
10693,1089.0
7112,483.0
10016,3486.0
12671,29581.0
4794,7590.0
12267,278.0
8108,669.0
155,18218.0
1894,47554.0
9548,784.0
2710,217.0
8598,367.0
